"No.","Time","Source","Destination","Protocol","Length","ID","Info"
"1","01:50:19.077016312","fe80::fa5e:42ff:feb9:eefa","ff02::1","ICMPv6","174","","Router Advertisement from f8:5e:42:b9:ee:fa"
"2","01:50:19.086478346","fe80::f2cd:7016:d1f2:6f85","ff02::16","ICMPv6","170","","Multicast Listener Report Message v2"
"3","01:50:20.090438468","fe80::f2cd:7016:d1f2:6f85","ff02::16","ICMPv6","170","","Multicast Listener Report Message v2"
"4","01:50:21.433218619","10.0.0.247","255.255.255.255","UDP","214","","49154  >  6666 Len=172"
"5","01:50:21.638497144","162.159.134.234","10.0.0.214","TLSv1.2","609","","Application Data"
"6","01:50:21.638532936","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=556 Win=1961 Len=0"
"7","01:50:21.638497401","162.159.134.234","10.0.0.214","TLSv1.2","206","","Application Data"
"8","01:50:21.638549101","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=708 Win=1961 Len=0"
"9","01:50:21.638497426","162.159.134.234","10.0.0.214","TLSv1.2","137","","Application Data"
"10","01:50:21.638553436","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=791 Win=1961 Len=0"
"11","01:50:21.638497451","162.159.134.234","10.0.0.214","TLSv1.2","171","","Application Data"
"12","01:50:21.638570301","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=908 Win=1961 Len=0"
"13","01:50:21.661423720","162.159.134.234","10.0.0.214","TLSv1.2","182","","Application Data"
"14","01:50:21.661456814","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=1036 Win=1961 Len=0"
"15","01:50:21.671895204","162.159.134.234","10.0.0.214","TLSv1.2","162","","Application Data"
"16","01:50:21.671941782","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=1144 Win=1961 Len=0"
"17","01:50:21.683557080","162.159.134.234","10.0.0.214","TLSv1.2","202","","Application Data"
"18","01:50:21.683589733","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=1292 Win=1961 Len=0"
"19","01:50:21.705736359","162.159.134.234","10.0.0.214","TLSv1.2","162","","Application Data"
"20","01:50:21.705862017","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=1400 Win=1961 Len=0"
"21","01:50:21.724164333","162.159.134.234","10.0.0.214","TLSv1.2","299","","Application Data"
"22","01:50:21.724195273","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=1645 Win=1961 Len=0"
"23","01:50:21.739900791","162.159.134.234","10.0.0.214","TLSv1.2","152","","Application Data"
"24","01:50:21.739929408","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=1743 Win=1961 Len=0"
"25","01:50:21.745439286","162.159.134.234","10.0.0.214","TLSv1.2","122","","Application Data"
"26","01:50:21.745476366","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=1811 Win=1961 Len=0"
"27","01:50:21.755585807","162.159.134.234","10.0.0.214","TLSv1.2","120","","Application Data"
"28","01:50:21.755687925","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=1877 Win=1961 Len=0"
"29","01:50:21.776692074","162.159.134.234","10.0.0.214","TLSv1.2","132","","Application Data"
"30","01:50:21.776722546","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=1955 Win=1961 Len=0"
"31","01:50:21.790665592","162.159.134.234","10.0.0.214","TLSv1.2","125","","Application Data"
"32","01:50:21.790696252","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2026 Win=1961 Len=0"
"33","01:50:21.804439576","162.159.134.234","10.0.0.214","TLSv1.2","172","","Application Data"
"34","01:50:21.804469844","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2144 Win=1961 Len=0"
"35","01:50:21.839044487","162.159.134.234","10.0.0.214","TLSv1.2","256","","Application Data"
"36","01:50:21.839081284","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2346 Win=1961 Len=0"
"37","01:50:21.843190110","162.159.134.234","10.0.0.214","TLSv1.2","135","","Application Data"
"38","01:50:21.843221525","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2427 Win=1961 Len=0"
"39","01:50:21.865944031","162.159.134.234","10.0.0.214","TLSv1.2","118","","Application Data"
"40","01:50:21.866101226","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2491 Win=1961 Len=0"
"41","01:50:21.872926424","162.159.134.234","10.0.0.214","TLSv1.2","120","","Application Data"
"42","01:50:21.873077751","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2557 Win=1961 Len=0"
"43","01:50:21.876895412","162.159.134.234","10.0.0.214","TLSv1.2","163","","Application Data"
"44","01:50:21.877048964","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2666 Win=1961 Len=0"
"45","01:50:21.889970993","162.159.134.234","10.0.0.214","TLSv1.2","137","","Application Data"
"46","01:50:21.890058993","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2749 Win=1961 Len=0"
"47","01:50:21.909991486","162.159.134.234","10.0.0.214","TLSv1.2","146","","Application Data"
"48","01:50:21.910142147","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2841 Win=1961 Len=0"
"49","01:50:21.913684369","162.159.134.234","10.0.0.214","TLSv1.2","128","","Application Data"
"50","01:50:21.913833001","10.0.0.214","162.159.134.234","TCP","54","","42220  >  443 [ACK] Seq=1 Ack=2915 Win=1961 Len=0"
"51","01:50:21.925403243","162.159.134.234","10.0.0.214","TLSv1.2","125","","Application Data"
